post	target	implied_statement
"  "" you answered my question "" "" no  i asked you a question . 95 % of the men who won ww2 were against interracial dating  gay marriage & the replacement of white america through mass immigration . are people with those beliefs today nazis ? """	Gays	Gays are abnormal.
if you don't think that we  as a country  do not have illegal immigration problems .. read the statistics carefully !	Immigrants	Immigrants are a drain on society
" rt no  we support this  "" transition "" "" of cuck state into the new little green footballs """	Male conservatives	Male conservatives are weak.
which is why we need an indefinite moratorium on immigration and refugee resettlement . we need legislation today . tomorrow is far too late .	immigrants	Immigrants don't belong in the country.
no  ha never i've always been great friends and dated outside my race  i just never felt that white women were great enough if anything i saw white women insignificant in comparison	White women	White women are inferior
we're all vertebrates too . except for cucks .	Progressive males	Progressive males are weak.
the laws which exist today discriminate in favor of blacks and against whites .	blacks	Blacks are treated better than whites.
maybe because somalis have a habit of being criminals people hate them ?	Solmalis	Solmalis are criminals.
does the white race have the right to live ? look at the trends . our leaders say no ! #kalergi plan of #whitegenocide	non-white people	non-white people are a threat
fight white genocide ! #whitegenocide #jewishsupremacy	Jews	Jews are anti-white
somalians celebrate christmas in denmark : horrific racially motivated attack on white couple attack-on-white-couple via	Blacks	Blacks target whites for violence
what's worse : a white animal abuser or a black jew ?	Black jews	Black jews are substandard.
discussion time : morality and the potential destruction of white civilization via	White people	White people are more dangerous than other races
the employment non-discrimination act ( enda ): a threat to free markets and freedom of conscience and religion	Christians	Christians are discriminated against
" who is promoting  "" white privilege "" "" ? #withjewswelose """	Jews	Jews are devious
libertarianism has become an ideology that appeals only to white men who hate white men .	liberals	liberals hate white people
every time i see these people all i think of are th white version of black isrealites .	Minorities	Minorities persecute blacks
yes . a racist of the highest kind ; a screwball feminist ; a windbag who was able to suck in female followers . yes .	Feminists	Feminists are manipulative and cunning.
the pc politicians in parliament who let these muslims into the uk are protected by layers of security . the people are disarmed	Muslims	Muslims are violent
come on  everybody hear white people  white nation .	white people	People should listen to white people.
" rt : trump is white . he's  "" racist "" "" by default.anti - racist is a code word for #antiwhite . """	white people	White people are racist.
we  white people  are in fact a global minority . so  why don't we have the right to protect and preserve our race ?	Minorities	Minorities have wiped out the white race
orban : hungary is a refuge for white europeans via	non-white people	non-white people are inferior
nathan - why is a jewish person taking your place ? i thought it was about saving the white european race and culture ?	white people	White people need to be saved.
america was founded by white people  you do realize that  right ?	white people	White people belong in America.
racist kkk cops shooting @ other cops is strategy of #alec clans to vilify ! otherwise  cameras will identify shooter !	Cops	Cops are racists
